dirname,filename,molecule_name,distance,fci_energy,1st_excited_energy,bond_length_opt,fci_energy_lowest,qc_energy,nfev
H2_line_sto-3g,H2_line_sto-3g_singlet_1.00.hdf5,H2line,1,-1.10115033,-0.352290626,0.7349,-1.13730605,-1.10115033,16
H2_line_sto-3g,H2_line_sto-3g_singlet_1.10.hdf5,H2line,1.1,-1.079192945,-0.386515244,0.7349,-1.13730605,-1.079192945,16
H2_line_sto-3g,H2_line_sto-3g_singlet_1.20.hdf5,H2line,1.2,-1.056740746,-0.408860409,0.7349,-1.13730605,-1.056740746,20
H2_line_sto-3g,H2_line_sto-3g_singlet_1.30.hdf5,H2line,1.3,-1.035186266,-0.422402022,0.7349,-1.13730605,-1.035186266,20
H2_line_sto-3g,H2_line_sto-3g_singlet_1.40.hdf5,H2line,1.4,-1.015468249,-0.429383761,0.7349,-1.13730605,-1.015468249,20
H2_line_sto-3g,H2_line_sto-3g_singlet_1.50.hdf5,H2line,1.5,-0.998149353,-0.431512909,0.7349,-1.13730605,-0.998149353,20
H2_line_sto-3g,H2_line_sto-3g_singlet_1.60.hdf5,H2line,1.6,-0.983472729,-0.430109249,0.7349,-1.13730605,-0.983472729,20
H2_line_sto-3g,H2_line_sto-3g_singlet_1.70.hdf5,H2line,1.7,-0.971426688,-0.426191756,0.7349,-1.13730605,-0.971426688,20
H2_line_sto-3g,H2_line_sto-3g_singlet_1.80.hdf5,H2line,1.8,-0.961816953,-0.42054092,0.7349,-1.13730605,-0.961816953,16
H2_line_sto-3g,H2_line_sto-3g_singlet_1.90.hdf5,H2line,1.9,-0.954338854,-0.413748878,0.7349,-1.13730605,-0.954338854,20
H2_line_sto-3g,H2_line_sto-3g_singlet_2.00.hdf5,H2line,2,-0.948641112,-0.406260369,0.7349,-1.13730605,-0.948641112,20
H4_line_sto-3g,H4_line_sto-3g_singlet_0.50.hdf5,H4line,0.5,-1.653116952,-0.622826873,0.8882,-2.180505591,-1.653110472,256
H4_line_sto-3g,H4_line_sto-3g_singlet_0.60.hdf5,H4line,0.6,-1.960193645,-1.09647871,0.8882,-2.180505591,-1.960187661,224
H4_line_sto-3g,H4_line_sto-3g_singlet_0.70.hdf5,H4line,0.7,-2.106996915,-1.365652667,0.8882,-2.180505591,-2.106988386,208
H4_line_sto-3g,H4_line_sto-3g_singlet_0.80.hdf5,H4line,0.8,-2.167560544,-1.514583566,0.8882,-2.180505591,-2.167545532,240
H4_line_sto-3g,H4_line_sto-3g_singlet_0.8882.hdf5,H4line,0.8882,-2.180505591,-1.584647548,0.8882,-2.180505591,-2.180472802,224
H4_line_sto-3g,H4_line_sto-3g_singlet_0.90.hdf5,H4line,0.9,-2.180316614,-1.590934558,0.8882,-2.180505591,-2.180280282,224
H4_line_sto-3g,H4_line_sto-3g_singlet_1.00.hdf5,H4line,1,-2.166387449,-1.649657886,0.8882,-2.180505591,-2.166304206,224
H4_line_sto-3g,H4_line_sto-3g_singlet_1.10.hdf5,H4line,1.1,-2.137970527,-1.712389814,0.8882,-2.180505591,-2.137797126,208
H4_line_sto-3g,H4_line_sto-3g_singlet_1.20.hdf5,H4line,1.2,-2.102608481,-1.755108304,0.8882,-2.180505591,-2.102280432,224
H4_line_sto-3g,H4_line_sto-3g_singlet_1.30.hdf5,H4line,1.3,-2.065228963,-1.784934839,0.8882,-2.180505591,-2.064654504,192
H4_line_sto-3g,H4_line_sto-3g_singlet_1.40.hdf5,H4line,1.4,-2.029070494,-1.806225591,0.8882,-2.180505591,-2.028135724,176
H4_line_sto-3g,H4_line_sto-3g_singlet_1.50.hdf5,H4line,1.5,-1.996150326,-1.821714545,0.8882,-2.180505591,-1.994730279,176
H4_line_sto-3g,H4_line_sto-3g_singlet_1.60.hdf5,H4line,1.6,-1.96756031,-1.833157735,0.8882,-2.180505591,-1.965540377,176
H4_line_sto-3g,H4_line_sto-3g_singlet_1.70.hdf5,H4line,1.7,-1.943692039,-1.841705333,0.8882,-2.180505591,-1.940996013,192
H4_line_sto-3g,H4_line_sto-3g_singlet_1.80.hdf5,H4line,1.8,-1.924430638,-1.848128252,0.8882,-2.180505591,-1.921048156,192
H4_line_sto-3g,H4_line_sto-3g_singlet_1.90.hdf5,H4line,1.9,-1.90933206,-1.852959977,0.8882,-2.180505591,-1.905338926,192
H4_line_sto-3g,H4_line_sto-3g_singlet_2.00.hdf5,H4line,2,-1.897780646,-1.856584103,0.8882,-2.180505591,-1.893344017,224
H4_ring_sto-3g,H4_ring_sto-3g_singlet_0.50.hdf5,H4ring,0.5,-0.610129733,-0.516290717,0.9032,-1.849582212,-0.61000907,240
H4_ring_sto-3g,H4_ring_sto-3g_singlet_0.60.hdf5,H4ring,0.6,-1.191865902,-1.074424497,0.9032,-1.849582212,-1.191648959,224
H4_ring_sto-3g,H4_ring_sto-3g_singlet_0.70.hdf5,H4ring,0.7,-1.528728496,-1.394619511,0.9032,-1.849582212,-1.528369257,224
H4_ring_sto-3g,H4_ring_sto-3g_singlet_0.80.hdf5,H4ring,0.8,-1.728280864,-1.586733278,0.9032,-1.849582212,-1.727731008,224
H4_ring_sto-3g,H4_ring_sto-3g_singlet_0.90.hdf5,H4ring,0.9,-1.846740573,-1.699536109,0.9032,-1.849582212,-1.845948897,208
H4_ring_sto-3g,H4_ring_sto-3g_singlet_0.9032.hdf5,H4ring,0.9032,-1.849582212,-1.702228589,0.9032,-1.849582212,-1.848781938,224
H4_ring_sto-3g,H4_ring_sto-3g_singlet_1.00.hdf5,H4ring,1,-1.91510655,-1.764318325,0.9032,-1.849582212,-1.914016532,192
H4_ring_sto-3g,H4_ring_sto-3g_singlet_1.10.hdf5,H4ring,1.1,-1.951594008,-1.799888637,0.9032,-1.849582212,-1.950147383,192
H4_ring_sto-3g,H4_ring_sto-3g_singlet_1.20.hdf5,H4ring,1.2,-1.96754988,-1.818374839,0.9032,-1.849582212,-1.965692479,192
H4_ring_sto-3g,H4_ring_sto-3g_singlet_1.30.hdf5,H4ring,1.3,-1.970377538,-1.82783832,0.9032,-1.849582212,-1.968072708,160
H4_ring_sto-3g,H4_ring_sto-3g_singlet_1.40.hdf5,H4ring,1.4,-1.965080561,-1.833410749,0.9032,-1.849582212,-1.962323664,160
H4_ring_sto-3g,H4_ring_sto-3g_singlet_1.50.hdf5,H4ring,1.5,-1.955125012,-1.837877473,0.9032,-1.849582212,-1.951956421,144
H4_ring_sto-3g,H4_ring_sto-3g_singlet_1.60.hdf5,H4ring,1.6,-1.94293896,-1.842282961,0.9032,-1.849582212,-1.939451176,160
H4_ring_sto-3g,H4_ring_sto-3g_singlet_1.70.hdf5,H4ring,1.7,-1.930207736,-1.846685162,0.9032,-1.849582212,-1.926540408,176
H4_ring_sto-3g,H4_ring_sto-3g_singlet_1.80.hdf5,H4ring,1.8,-1.91805379,-1.850812292,0.9032,-1.849582212,-1.91437564,176
H4_ring_sto-3g,H4_ring_sto-3g_singlet_1.90.hdf5,H4ring,1.9,-1.907156847,-1.854423236,0.9032,-1.849582212,-1.903636984,192
H4_ring_sto-3g,H4_ring_sto-3g_singlet_2.00.hdf5,H4ring,2,-1.897849389,-1.857410511,0.9032,-1.849582212,-1.894628848,208
H6_line_sto-3g,H6_line_sto-3g_singlet_0.50.hdf5,H6line,0.5,-2.225106186,-1.370202031,0.9255,-3.245937137,-2.225020349,1120
H6_line_sto-3g,H6_line_sto-3g_singlet_0.60.hdf5,H6line,0.6,-2.79641923,-2.092812543,0.9255,-3.245937137,-2.79629278,1176
H6_line_sto-3g,H6_line_sto-3g_singlet_0.70.hdf5,H6line,0.7,-3.077995452,-2.480041756,0.9255,-3.245937137,-3.077802355,1008
H6_line_sto-3g,H6_line_sto-3g_singlet_0.80.hdf5,H6line,0.8,-3.204411879,-2.679755147,0.9255,-3.245937137,-3.204137774,1120
H6_line_sto-3g,H6_line_sto-3g_singlet_0.90.hdf5,H6line,0.9,-3.24454224,-2.770171006,0.9255,-3.245937137,-3.244133549,1176
H6_line_sto-3g,H6_line_sto-3g_singlet_0.9255.hdf5,H6line,0.9255,-3.245937137,-2.781586151,0.9255,-3.245937137,-3.245477388,1008
H6_line_sto-3g,H6_line_sto-3g_singlet_1.00.hdf5,H6line,1,-3.23606628,-2.845128771,0.9255,-3.245937137,-3.235439483,1232
H6_line_sto-3g,H6_line_sto-3g_singlet_1.10.hdf5,H6line,1.1,-3.200684281,-2.880193977,0.9255,-3.245937137,-3.1997087,1232
H6_line_sto-3g,H6_line_sto-3g_singlet_1.20.hdf5,H6line,1.2,-3.151729141,-2.890590049,0.9255,-3.245937137,-3.15021358,1120
H6_line_sto-3g,H6_line_sto-3g_singlet_1.30.hdf5,H6line,1.3,-3.097825647,-2.887273474,0.9255,-3.245937137,-3.095513965,952
H6_line_sto-3g,H6_line_sto-3g_singlet_1.40.hdf5,H6line,1.4,-3.044600244,-2.877098628,0.9255,-3.245937137,-3.041199684,896
H6_line_sto-3g,H6_line_sto-3g_singlet_1.50.hdf5,H6line,1.5,-2.995565426,-2.864310143,0.9255,-3.245937137,-2.990778405,840
H6_line_sto-3g,H6_line_sto-3g_singlet_1.60.hdf5,H6line,1.6,-2.952668364,-2.851422578,0.9255,-3.245937137,-2.946276129,840
H6_line_sto-3g,H6_line_sto-3g_singlet_1.70.hdf5,H6line,1.7,-2.916689243,-2.83978841,0.9255,-3.245937137,-2.908623071,840
H6_line_sto-3g,H6_line_sto-3g_singlet_1.80.hdf5,H6line,1.8,-2.887569376,-2.829993513,0.9255,-3.245937137,-2.877962252,896
H6_line_sto-3g,H6_line_sto-3g_singlet_1.90.hdf5,H6line,1.9,-2.864702878,-2.822144898,0.9255,-3.245937137,-2.853899577,1008
H6_line_sto-3g,H6_line_sto-3g_singlet_2.00.hdf5,H6line,2,-2.847192134,-2.816081321,0.9255,-3.245937137,-2.835709027,1008
H6_ring_sto-3g,H6_ring_sto-3g_singlet_0.50.hdf5,H6ring,0.5,-1.732927599,-0.347910514,0.9882,-3.237753421,-1.732813786,1008
H6_ring_sto-3g,H6_ring_sto-3g_singlet_0.60.hdf5,H6ring,0.6,-2.529472737,-1.444157079,0.9882,-3.237753421,-2.529299051,896
H6_ring_sto-3g,H6_ring_sto-3g_singlet_0.70.hdf5,H6ring,0.7,-2.935541581,-2.068995341,0.9882,-3.237753421,-2.935288696,896
H6_ring_sto-3g,H6_ring_sto-3g_singlet_0.80.hdf5,H6ring,0.8,-3.134937156,-2.434334301,0.9882,-3.237753421,-3.134580796,840
H6_ring_sto-3g,H6_ring_sto-3g_singlet_0.90.hdf5,H6ring,0.9,-3.219318405,-2.648378959,0.9882,-3.237753421,-3.21882389,728
H6_ring_sto-3g,H6_ring_sto-3g_singlet_0.9882.hdf5,H6ring,0.9882,-3.237753421,-2.760317065,0.9882,-3.237753421,-3.237091645,840
H6_ring_sto-3g,H6_ring_sto-3g_singlet_1.00.hdf5,H6ring,1,-3.237476731,-2.771399804,0.9882,-3.237753421,-3.236788363,1008
H6_ring_sto-3g,H6_ring_sto-3g_singlet_1.10.hdf5,H6ring,1.1,-3.217049146,-2.838463587,0.9882,-3.237753421,-3.216071733,840
H6_ring_sto-3g,H6_ring_sto-3g_singlet_1.20.hdf5,H6ring,1.2,-3.174998026,-2.870745915,0.9882,-3.237753421,-3.173577437,784
H6_ring_sto-3g,H6_ring_sto-3g_singlet_1.30.hdf5,H6ring,1.3,-3.122533779,-2.881621329,0.9882,-3.237753421,-3.120410333,840
H6_ring_sto-3g,H6_ring_sto-3g_singlet_1.40.hdf5,H6ring,1.4,-3.067345931,-2.879866593,0.9882,-3.237753421,-3.064125953,728
H6_ring_sto-3g,H6_ring_sto-3g_singlet_1.50.hdf5,H6ring,1.5,-3.014648381,-2.871342847,0.9882,-3.237753421,-3.009739055,728
H6_ring_sto-3g,H6_ring_sto-3g_singlet_1.60.hdf5,H6ring,1.6,-2.967690754,-2.859930285,0.9882,-3.237753421,-2.960382931,672
H6_ring_sto-3g,H6_ring_sto-3g_singlet_1.70.hdf5,H6ring,1.7,-2.928060017,-2.848091053,0.9882,-3.237753421,-2.917655641,504
H6_ring_sto-3g,H6_ring_sto-3g_singlet_1.80.hdf5,H6ring,1.8,-2.896015095,-2.837244284,0.9882,-3.237753421,-2.881973767,560
H6_ring_sto-3g,H6_ring_sto-3g_singlet_1.90.hdf5,H6ring,1.9,-2.870937349,-2.828054983,0.9882,-3.237753421,-2.852945128,616
H6_ring_sto-3g,H6_ring_sto-3g_singlet_2.00.hdf5,H6ring,2,-2.851785932,-2.820682928,0.9882,-3.237753421,-2.830149809,560
LiH_sto-3g,LiH_sto-3g_singlet_0.50.hdf5,LiH,0.5,-7.050225035,-6.990633485,1.5475,-7.882762239,-7.05016279,1012
LiH_sto-3g,LiH_sto-3g_singlet_0.60.hdf5,LiH,0.6,-7.319318938,-7.238551987,1.5475,-7.882762239,-7.319293514,1058
LiH_sto-3g,LiH_sto-3g_singlet_0.70.hdf5,LiH,0.7,-7.505051767,-7.402653427,1.5475,-7.882762239,-7.505037153,1104
LiH_sto-3g,LiH_sto-3g_singlet_0.80.hdf5,LiH,0.8,-7.634167329,-7.514698936,1.5475,-7.882762239,-7.634150473,874
LiH_sto-3g,LiH_sto-3g_singlet_0.90.hdf5,LiH,0.9,-7.723423721,-7.591579416,1.5475,-7.882762239,-7.723416515,920
LiH_sto-3g,LiH_sto-3g_singlet_1.00.hdf5,LiH,1,-7.78446028,-7.644498843,1.5475,-7.882762239,-7.784453645,920
LiH_sto-3g,LiH_sto-3g_singlet_1.10.hdf5,LiH,1.1,-7.825536958,-7.681108027,1.5475,-7.882762239,-7.825528827,874
LiH_sto-3g,LiH_sto-3g_singlet_1.20.hdf5,LiH,1.2,-7.852430853,-7.70653091,1.5475,-7.882762239,-7.852423057,1012
LiH_sto-3g,LiH_sto-3g_singlet_1.30.hdf5,LiH,1.3,-7.869139976,-7.724155833,1.5475,-7.882762239,-7.869129597,920
LiH_sto-3g,LiH_sto-3g_singlet_1.40.hdf5,LiH,1.4,-7.878453652,-7.73623573,1.5475,-7.882762239,-7.878443024,874
LiH_sto-3g,LiH_sto-3g_singlet_1.50.hdf5,LiH,1.5,-7.882362287,-7.744299562,1.5475,-7.882762239,-7.882350801,874
LiH_sto-3g,LiH_sto-3g_singlet_1.5475.hdf5,LiH,1.5475,-7.882762239,-7.747044251,1.5475,-7.882762239,-7.882750856,828
LiH_sto-3g,LiH_sto-3g_singlet_1.60.hdf5,LiH,1.6,-7.882324379,-7.749414694,1.5475,-7.882762239,-7.882300715,782
LiH_sto-3g,LiH_sto-3g_singlet_1.70.hdf5,LiH,1.7,-7.879433517,-7.752347684,1.5475,-7.882762239,-7.879420725,828
LiH_sto-3g,LiH_sto-3g_singlet_1.80.hdf5,LiH,1.8,-7.874524025,-7.753661382,1.5475,-7.882762239,-7.874507811,966
LiH_sto-3g,LiH_sto-3g_singlet_1.90.hdf5,LiH,1.9,-7.868240794,-7.753773849,1.5475,-7.882762239,-7.868224361,966
LiH_sto-3g,LiH_sto-3g_singlet_2.00.hdf5,LiH,2,-7.861087772,-7.752995014,1.5475,-7.882762239,-7.861067961,966
